id_employee_salary,job_title, salary ,salary_currency, salary_in_usd ,id_work_year,id_experience_level,id_employment_type,id_emloyee_residence,id_remote_ratio,id_company_location,id_company_size
71,Data Engineer," 73,100.00 ",USD," 73,100.00 ",5,2,3,1,1,1,2
72,Data Scientist," 166,000.00 ",USD," 166,000.00 ",5,2,3,1,1,1,2
73,Data Scientist," 73,100.00 ",USD," 73,100.00 ",5,2,3,1,1,1,2
74,Research Scientist," 179,000.00 ",USD," 179,000.00 ",5,1,3,1,1,1,2
75,Research Scientist," 112,000.00 ",USD," 112,000.00 ",5,1,3,1,1,1,2
76,Machine Learning Engineer," 186,754.00 ",USD," 186,754.00 ",5,1,3,1,1,1,2
77,Machine Learning Engineer," 101,000.00 ",USD," 101,000.00 ",5,1,3,1,1,1,2
78,Data Scientist," 64,000.00 ",GBP," 80,000.00 ",5,1,3,1,1,1,2
79,Data Scientist," 54,000.00 ",GBP," 67,500.00 ",5,1,3,1,1,1,2
80,Machine Learning Engineer," 212,000.00 ",USD," 212,000.00 ",5,1,3,4,1,4,2
81,Machine Learning Engineer," 93,300.00 ",USD," 93,300.00 ",5,1,3,4,1,4,2
82,Data Engineer," 138,000.00 ",USD," 138,000.00 ",5,1,3,1,1,1,2
83,Data Engineer," 86,000.00 ",USD," 86,000.00 ",5,1,3,1,1,1,2
84,Data Engineer," 106,050.00 ",USD," 106,050.00 ",5,2,3,1,1,1,2
85,Data Engineer," 80,420.00 ",USD," 80,420.00 ",5,2,3,1,1,1,2
86,Research Scientist," 234,000.00 ",USD," 234,000.00 ",5,1,3,1,1,1,2
87,Research Scientist," 146,000.00 ",USD," 146,000.00 ",5,1,3,1,1,1,2
88,Data Analyst," 179,000.00 ",USD," 179,000.00 ",5,3,3,1,1,1,2
89,Data Analyst," 112,000.00 ",USD," 112,000.00 ",5,3,3,1,1,1,2
90,Data Modeler," 171,210.00 ",USD," 171,210.00 ",5,1,3,2,1,2,2
91,Data Modeler," 92,190.00 ",USD," 92,190.00 ",5,1,3,2,1,2,2
92,Data Scientist," 110,630.00 ",USD," 110,630.00 ",5,2,3,2,1,2,2
93,Data Scientist," 59,570.00 ",USD," 59,570.00 ",5,2,3,2,1,2,2
94,Research Engineer," 234,000.00 ",USD," 234,000.00 ",5,1,3,1,1,1,2
95,Research Engineer," 146,000.00 ",USD," 146,000.00 ",5,1,3,1,1,1,2
96,Data Architect," 186,000.00 ",USD," 186,000.00 ",5,1,3,1,1,1,2
97,Data Architect," 81,800.00 ",USD," 81,800.00 ",5,1,3,1,1,1,2
98,BI Developer," 95,000.00 ",USD," 95,000.00 ",5,1,3,5,3,5,2
99,BI Developer," 80,000.00 ",USD," 80,000.00 ",5,1,3,5,3,5,2
100,Data Engineer," 160,000.00 ",USD," 160,000.00 ",5,1,3,1,1,1,2
101,Data Engineer," 94,100.00 ",USD," 94,100.00 ",5,1,3,1,1,1,2
102,Data Engineer," 40,000.00 ",GBP," 50,000.00 ",5,3,3,6,1,6,2
103,Data Engineer," 30,000.00 ",GBP," 37,500.00 ",5,3,3,6,1,6,2
104,Data Engineer," 225,000.00 ",USD," 225,000.00 ",5,4,3,1,1,1,2
105,Data Engineer," 215,000.00 ",USD," 215,000.00 ",5,4,3,1,1,1,2
106,Machine Learning Engineer," 303,400.00 ",USD," 303,400.00 ",5,1,3,1,3,1,2
107,Machine Learning Engineer," 216,700.00 ",USD," 216,700.00 ",5,1,3,1,3,1,2
108,Business Intelligence Analyst," 45,000.00 ",GBP," 56,250.00 ",5,3,3,6,1,6,2
109,Business Intelligence Analyst," 45,000.00 ",GBP," 56,250.00 ",5,3,3,6,1,6,2
110,Data Analyst," 179,000.00 ",USD," 179,000.00 ",5,3,3,1,1,1,2
111,Data Analyst," 112,000.00 ",USD," 112,000.00 ",5,3,3,1,1,1,2
112,Machine Learning Engineer," 166,000.00 ",USD," 166,000.00 ",5,2,3,1,1,1,2
113,Machine Learning Engineer," 73,100.00 ",USD," 73,100.00 ",5,2,3,1,1,1,2
114,Data Modeler," 130,000.00 ",USD," 130,000.00 ",5,1,3,1,3,1,2
115,Data Modeler," 110,000.00 ",USD," 110,000.00 ",5,1,3,1,3,1,2
116,Data Engineer," 115,000.00 ",USD," 115,000.00 ",5,2,3,1,1,1,2
117,Data Engineer," 80,000.00 ",USD," 80,000.00 ",5,2,3,1,1,1,2
118,Research Scientist," 179,000.00 ",USD," 179,000.00 ",5,2,3,1,1,1,2
119,Research Scientist," 112,000.00 ",USD," 112,000.00 ",5,2,3,1,1,1,2
120,Machine Learning Engineer," 195,000.00 ",USD," 195,000.00 ",5,1,3,1,3,1,2
121,Machine Learning Engineer," 170,000.00 ",USD," 170,000.00 ",5,1,3,1,3,1,2
122,Data Analyst," 78,000.00 ",USD," 78,000.00 ",5,2,3,2,1,2,2
123,Data Analyst," 54,000.00 ",USD," 54,000.00 ",5,2,3,2,1,2,2
124,Data Scientist," 179,000.00 ",USD," 179,000.00 ",5,2,3,1,1,1,2
125,Data Scientist," 112,000.00 ",USD," 112,000.00 ",5,2,3,1,1,1,2
126,Research Scientist," 440,000.00 ",USD," 440,000.00 ",5,1,3,1,1,1,2
127,Research Scientist," 295,000.00 ",USD," 295,000.00 ",5,1,3,1,1,1,2
128,Data Scientist," 130,000.00 ",USD," 130,000.00 ",5,1,3,2,1,2,2
129,Data Scientist," 120,000.00 ",USD," 120,000.00 ",5,1,3,2,1,2,2
130,Data Engineer," 152,375.00 ",USD," 152,375.00 ",5,1,3,1,3,1,2
131,Data Engineer," 94,000.00 ",USD," 94,000.00 ",5,1,3,1,3,1,2
132,Data Developer," 180,000.00 ",USD," 180,000.00 ",5,1,3,1,3,1,2
133,Data Developer," 130,000.00 ",USD," 130,000.00 ",5,1,3,1,3,1,2
134,Analytics Engineer," 195,000.00 ",USD," 195,000.00 ",5,1,3,1,3,1,2
135,Analytics Engineer," 165,000.00 ",USD," 165,000.00 ",5,1,3,1,3,1,2
136,Data Scientist," 218,000.00 ",USD," 218,000.00 ",5,2,3,1,1,1,2
137,Data Scientist," 152,600.00 ",USD," 152,600.00 ",5,2,3,1,1,1,2
138,Machine Learning Scientist," 750,000.00 ",USD," 750,000.00 ",5,2,3,1,1,1,2
139,Machine Learning Scientist," 150,000.00 ",USD," 150,000.00 ",5,2,3,1,1,1,2
140,Data Scientist," 136,197.00 ",USD," 136,197.00 ",5,1,3,1,1,1,2
141,Data Scientist," 100,000.00 ",USD," 100,000.00 ",5,1,3,1,1,1,2
142,Research Engineer," 440,000.00 ",USD," 440,000.00 ",5,1,3,1,1,1,2
143,Research Engineer," 295,000.00 ",USD," 295,000.00 ",5,1,3,1,1,1,2
144,Data Engineer," 179,000.00 ",USD," 179,000.00 ",5,4,3,1,1,1,2
145,Data Engineer," 112,000.00 ",USD," 112,000.00 ",5,4,3,1,1,1,2
146,Data Scientist," 175,100.00 ",USD," 175,100.00 ",5,2,3,1,1,1,2
147,Data Scientist," 82,915.00 ",USD," 82,915.00 ",5,2,3,1,1,1,2
148,Data Science Consultant," 112,000.00 ",USD," 112,000.00 ",5,1,3,1,1,1,2
149,Data Science Consultant," 109,000.00 ",USD," 109,000.00 ",5,1,3,1,1,1,2
150,Analytics Engineer," 116,550.00 ",USD," 116,550.00 ",5,2,3,1,1,1,2
151,Analytics Engineer," 79,200.00 ",USD," 79,200.00 ",5,2,3,1,1,1,2
152,Data Scientist," 168,000.00 ",USD," 168,000.00 ",5,2,3,1,3,1,2
153,Data Scientist," 120,000.00 ",USD," 120,000.00 ",5,2,3,1,3,1,2
154,Data Scientist," 154,400.00 ",GBP," 193,000.00 ",5,2,3,6,1,6,2
155,Data Scientist," 76,900.00 ",GBP," 96,125.00 ",5,2,3,6,1,6,2
156,Machine Learning Engineer," 210,000.00 ",USD," 210,000.00 ",5,1,3,1,1,1,2
157,Machine Learning Engineer," 160,000.00 ",USD," 160,000.00 ",5,1,3,1,1,1,2
158,Data Engineer," 116,000.00 ",USD," 116,000.00 ",5,1,3,1,1,1,2
159,Data Engineer," 90,000.00 ",USD," 90,000.00 ",5,1,3,1,1,1,2
160,Research Scientist," 247,600.00 ",USD," 247,600.00 ",5,1,3,1,1,1,1
161,Research Scientist," 127,300.00 ",USD," 127,300.00 ",5,1,3,1,1,1,1
162,Data Analyst," 40,000.00 ",GBP," 50,000.00 ",5,2,3,6,1,6,2
163,Data Analyst," 35,000.00 ",GBP," 43,750.00 ",5,2,3,6,1,6,2
164,Data Scientist," 190,600.00 ",USD," 190,600.00 ",5,1,3,1,3,1,2
165,Data Scientist," 94,400.00 ",USD," 94,400.00 ",5,1,3,1,3,1,2
166,Machine Learning Engineer," 258,100.00 ",USD," 258,100.00 ",5,1,3,1,1,1,2
167,Machine Learning Engineer," 151,900.00 ",USD," 151,900.00 ",5,1,3,1,1,1,2
168,Research Engineer," 720,000.00 ",USD," 720,000.00 ",5,2,3,1,1,1,2
169,Research Engineer," 100,000.00 ",USD," 100,000.00 ",5,2,3,1,1,1,2
